click_id,client_id,click_datetime,source,campaign,geo,device,placement,click_cost,ip,user_agent
149,c_454,2025-09-01 00:22:47,network_x,loan_cmp1,VN,mobile,comparison,0.48,199.89.213.143,Chrome
603,c_466,2025-09-01 00:32:31,tiktok_ads,loan_cmp2,MX,mobile,homepage,0.76,17.19.219.70,Firefox
1034,c_466,2025-09-01 00:38:11,google_ads,brand_search,VN,mobile,native_widget,0.48,228.36.45.130,Edge
904,c_167,2025-09-01 01:30:45,email_aff,loan_cmp2,MX,tablet,native_widget,0.37,109.60.247.178,Android WebView
477,c_22,2025-09-01 03:50:54,botnet_01,loan_cmp2,CO,desktop,blog,0.54,10.10.10.10,Android WebView
1063,c_311,2025-09-01 04:16:16,email_aff,brand_search,MX,desktop,comparison,1.47,48.62.69.147,Safari
671,c_58,2025-09-01 04:16:41,google_ads,cashback_promo,CO,mobile,blog,1.03,188.111.15.227,Chrome
285,c_116,2025-09-01 04:16:57,facebook_ads,loan_cmp1,MX,mobile,blog,1.32,148.116.87.10,Firefox
96,c_469,2025-09-01 05:20:50,facebook_ads,display_ret,CO,desktop,comparison,0.18,115.26.29.149,Firefox
1118,c_495,2025-09-01 05:22:39,botnet_01,brand_search,KZ,desktop,native_widget,1.25,10.10.10.10,Android WebView
484,c_151,2025-09-01 05:33:48,email_aff,display_ret,CO,mobile,homepage,0.5,224.6.103.10,Safari
179,c_192,2025-09-01 05:38:01,email_aff,brand_search,KZ,mobile,native_widget,0.42,232.21.28.203,Safari
572,c_159,2025-09-01 06:00:02,google_ads,loan_cmp2,MX,desktop,comparison,0.38,186.239.179.212,Safari
145,c_308,2025-09-01 06:26:36,email_aff,display_ret,VN,desktop,native_widget,0.69,5.239.86.175,Safari
584,c_27,2025-09-01 06:48:50,tiktok_ads,display_ret,MX,mobile,homepage,1.32,97.111.16.23,Safari
765,c_143,2025-09-01 07:25:07,google_ads,lookalike,CO,mobile,popup,1.08,5.229.78.91,Edge
1133,c_391,2025-09-01 07:25:32,network_x,display_ret,MX,mobile,homepage,0.49,7.73.107.99,Safari
1028,c_16,2025-09-01 07:40:03,tiktok_ads,display_ret,MX,mobile,popup,0.2,168.153.252.25,Firefox
228,c_67,2025-09-01 08:58:47,email_aff,display_ret,MX,mobile,homepage,0.97,6.214.153.210,Chrome
107,c_239,2025-09-01 09:05:33,facebook_ads,loan_cmp2,CO,mobile,native_widget,0.05,173.142.120.158,Safari
1179,c_433,2025-09-01 09:12:46,facebook_ads,cashback_promo,VN,tablet,homepage,0.45,226.209.180.186,Chrome
430,c_108,2025-09-01 12:03:10,network_x,cashback_promo,VN,desktop,native_widget,1.32,87.90.237.134,Edge
978,c_79,2025-09-01 12:15:12,botnet_01,cashback_promo,VN,mobile,popup,0.17,10.10.10.10,Android WebView
206,c_423,2025-09-01 13:19:05,email_aff,brand_search,CO,desktop,blog,0.29,2.22.112.57,Safari
7,c_217,2025-09-01 13:36:24,facebook_ads,cashback_promo,MX,desktop,native_widget,1.48,88.129.236.136,Firefox
1096,c_252,2025-09-01 13:42:29,email_aff,loan_cmp1,CO,desktop,homepage,1.07,172.63.65.39,Firefox
339,c_232,2025-09-01 13:59:17,email_aff,loan_cmp1,VN,mobile,comparison,1.07,38.176.27.20,Edge
209,c_284,2025-09-01 14:05:29,email_aff,display_ret,MX,mobile,popup,0.77,6.167.180.23,Chrome
628,c_219,2025-09-01 14:18:27,google_ads,display_ret,CO,mobile,homepage,1.11,221.9.33.188,Chrome
34,c_453,2025-09-01 15:42:53,tiktok_ads,display_ret,VN,mobile,popup,0.68,23.250.10.246,Android WebView
538,c_235,2025-09-01 16:15:02,google_ads,cashback_promo,MX,desktop,homepage,0.51,140.106.133.108,Safari
308,c_379,2025-09-01 16:44:32,email_aff,cashback_promo,VN,mobile,popup,0.61,7.49.137.164,Firefox
799,c_263,2025-09-01 17:05:01,botnet_01,display_ret,MX,mobile,popup,1.22,10.10.10.10,Android WebView
1180,c_172,2025-09-01 17:09:39,google_ads,cashback_promo,MX,mobile,homepage,0.48,246.106.34.219,Android WebView
625,c_353,2025-09-01 17:42:02,network_x,cashback_promo,CO,mobile,comparison,0.61,254.40.32.197,Chrome
254,c_222,2025-09-01 19:08:19,google_ads,lookalike,MX,tablet,comparison,1.26,1.143.37.141,Android WebView
732,c_122,2025-09-01 19:10:35,google_ads,display_ret,MX,mobile,popup,0.83,165.66.145.168,Android WebView
574,c_32,2025-09-01 19:20:03,network_x,brand_search,KZ,desktop,homepage,0.15,9.62.185.29,Android WebView
1154,c_191,2025-09-01 19:27:23,google_ads,display_ret,MX,desktop,blog,0.66,18.136.234.208,Firefox
1047,c_316,2025-09-01 19:33:22,google_ads,lookalike,MX,desktop,homepage,1.01,149.23.137.246,Firefox
949,c_451,2025-09-01 20:01:45,facebook_ads,display_ret,CO,mobile,native_widget,0.45,106.133.178.85,Safari
225,c_469,2025-09-01 20:11:32,tiktok_ads,loan_cmp1,MX,desktop,popup,0.19,189.137.68.35,Chrome
367,c_107,2025-09-01 20:57:56,network_x,loan_cmp2,MX,mobile,homepage,0.87,151.56.134.86,Safari
229,c_61,2025-09-01 21:04:28,tiktok_ads,display_ret,KZ,desktop,blog,0.74,99.168.142.35,Android WebView
